model,prob_col,threshold,accepted,coverage,correct,accuracy,total_valid
llama3.2:3b,pred_conf,0.0,200,1.0,145,0.725,200
llama3.2:3b,pred_conf,0.1,200,1.0,145,0.725,200
llama3.2:3b,pred_conf,0.2,200,1.0,145,0.725,200
llama3.2:3b,pred_conf,0.3,200,1.0,145,0.725,200
llama3.2:3b,pred_conf,0.4,200,1.0,145,0.725,200
llama3.2:3b,pred_conf,0.5,200,1.0,145,0.725,200
llama3.2:3b,pred_conf,0.6,200,1.0,145,0.725,200
llama3.2:3b,pred_conf,0.7,200,1.0,145,0.725,200
llama3.2:3b,pred_conf,0.8,200,1.0,145,0.725,200
llama3.2:3b,pred_conf,0.9,192,0.96,142,0.74,200
llama3.2:3b,pred_conf,0.95,38,0.19,29,0.763,200
llama3.2:3b,pred_conf,0.99,38,0.19,29,0.763,200
olmo2:7b,pred_conf,0.0,200,1.0,138,0.69,200
olmo2:7b,pred_conf,0.1,200,1.0,138,0.69,200
olmo2:7b,pred_conf,0.2,200,1.0,138,0.69,200
olmo2:7b,pred_conf,0.3,200,1.0,138,0.69,200
olmo2:7b,pred_conf,0.4,200,1.0,138,0.69,200
olmo2:7b,pred_conf,0.5,200,1.0,138,0.69,200
olmo2:7b,pred_conf,0.6,200,1.0,138,0.69,200
olmo2:7b,pred_conf,0.7,200,1.0,138,0.69,200
olmo2:7b,pred_conf,0.8,200,1.0,138,0.69,200
olmo2:7b,pred_conf,0.9,200,1.0,138,0.69,200
olmo2:7b,pred_conf,0.95,167,0.835,124,0.743,200
olmo2:7b,pred_conf,0.99,74,0.37,51,0.689,200
llama3.2:3b,pred_conf_iso,0.0,200,1.0,145,0.725,200
llama3.2:3b,pred_conf_iso,0.1,200,1.0,145,0.725,200
llama3.2:3b,pred_conf_iso,0.2,200,1.0,145,0.725,200
llama3.2:3b,pred_conf_iso,0.3,192,0.96,142,0.74,200
llama3.2:3b,pred_conf_iso,0.4,192,0.96,142,0.74,200
llama3.2:3b,pred_conf_iso,0.5,192,0.96,142,0.74,200
llama3.2:3b,pred_conf_iso,0.6,192,0.96,142,0.74,200
llama3.2:3b,pred_conf_iso,0.7,192,0.96,142,0.74,200
llama3.2:3b,pred_conf_iso,0.8,0,0.0,0,,200
llama3.2:3b,pred_conf_iso,0.9,0,0.0,0,,200
llama3.2:3b,pred_conf_iso,0.95,0,0.0,0,,200
llama3.2:3b,pred_conf_iso,0.99,0,0.0,0,,200
olmo2:7b,pred_conf_iso,0.0,200,1.0,138,0.69,200
olmo2:7b,pred_conf_iso,0.1,200,1.0,138,0.69,200
olmo2:7b,pred_conf_iso,0.2,200,1.0,138,0.69,200
olmo2:7b,pred_conf_iso,0.3,167,0.835,124,0.743,200
olmo2:7b,pred_conf_iso,0.4,167,0.835,124,0.743,200
olmo2:7b,pred_conf_iso,0.5,167,0.835,124,0.743,200
olmo2:7b,pred_conf_iso,0.6,167,0.835,124,0.743,200
olmo2:7b,pred_conf_iso,0.7,74,0.37,51,0.689,200
olmo2:7b,pred_conf_iso,0.8,10,0.05,6,0.6,200
olmo2:7b,pred_conf_iso,0.9,10,0.05,6,0.6,200
olmo2:7b,pred_conf_iso,0.95,0,0.0,0,,200
olmo2:7b,pred_conf_iso,0.99,0,0.0,0,,200
llama3.2:3b,pred_conf_temp,0.0,200,1.0,145,0.725,200
llama3.2:3b,pred_conf_temp,0.1,200,1.0,145,0.725,200
llama3.2:3b,pred_conf_temp,0.2,200,1.0,145,0.725,200
llama3.2:3b,pred_conf_temp,0.3,200,1.0,145,0.725,200
llama3.2:3b,pred_conf_temp,0.4,200,1.0,145,0.725,200
llama3.2:3b,pred_conf_temp,0.5,200,1.0,145,0.725,200
llama3.2:3b,pred_conf_temp,0.6,200,1.0,145,0.725,200
llama3.2:3b,pred_conf_temp,0.7,200,1.0,145,0.725,200
llama3.2:3b,pred_conf_temp,0.8,200,1.0,145,0.725,200
llama3.2:3b,pred_conf_temp,0.9,38,0.19,29,0.763,200
llama3.2:3b,pred_conf_temp,0.95,38,0.19,29,0.763,200
llama3.2:3b,pred_conf_temp,0.99,38,0.19,29,0.763,200
olmo2:7b,pred_conf_temp,0.0,200,1.0,138,0.69,200
olmo2:7b,pred_conf_temp,0.1,200,1.0,138,0.69,200
olmo2:7b,pred_conf_temp,0.2,200,1.0,138,0.69,200
olmo2:7b,pred_conf_temp,0.3,200,1.0,138,0.69,200
olmo2:7b,pred_conf_temp,0.4,200,1.0,138,0.69,200
olmo2:7b,pred_conf_temp,0.5,200,1.0,138,0.69,200
olmo2:7b,pred_conf_temp,0.6,200,1.0,138,0.69,200
olmo2:7b,pred_conf_temp,0.7,200,1.0,138,0.69,200
olmo2:7b,pred_conf_temp,0.8,200,1.0,138,0.69,200
olmo2:7b,pred_conf_temp,0.9,167,0.835,124,0.743,200
olmo2:7b,pred_conf_temp,0.95,74,0.37,51,0.689,200
olmo2:7b,pred_conf_temp,0.99,74,0.37,51,0.689,200
