model,event_id,true_label,pred_label,pred_conf,logits,reasoning,latency_sec,actor_norm,notes,pred_conf_iso,pred_conf_temp,prob_V,prob_B,prob_E,prob_P,prob_R,prob_S
llama3.2:3b,CAO11875,V,V,0.92,"{""V"": 0.92, ""B"": 0.02, ""E"": 0.01, ""P"": 0.01, ""R"": 0.03, ""S"": 0.01}",,0.8,Unidentified Armed Group (Cameroon),"On 24 September 2023, an unidentified armed group shot and killed a bike rider beside a rice farm in Bamunka (Ngo-Ketunjia, Nord-Ouest) after having abducted him. They accused him of impersonating the armed group and extorting money from civilians.",0.41411042944785276,0.92,0.33060057961982675,0.13441216516607782,0.13307474177654105,0.13307474177654105,0.13576302988414168,0.13307474177654105
llama3.2:3b,CAO9055,V,V,0.92,"{""V"": 0.92, ""B"": 0.03, ""E"": 0.01, ""P"": 0.02, ""R"": 0.01, ""S"": 0.01}",,0.78,Military Forces of Cameroon (1982-),"On 4 September 2022, military forces shot and killed a man in Besali (Wabane, Lebialem, Sud-Ouest) after he was mistaken for a separatist fighter following an exchange of fire between soldiers and Ambazonia Liberation Army fighters.",0.41411042944785276,0.92,0.33060057961982675,0.13576302988414168,0.13307474177654105,0.13441216516607782,0.13307474177654105,0.13307474177654105
llama3.2:3b,CAO3117,B,B,0.92,"{""V"": 0.03, ""B"": 0.92, ""E"": 0.01, ""P"": 0.02, ""R"": 0.04, ""S"": 0.08}",,0.71,Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"On 23 March 2020, Boko Haram were repulsed by the military after staging an attack on the village of Goshikale in Mora subdivision (Mayo-Sava, Extreme-Nord). Militants destroyed the local hospital and looted several houses, taking away 3 motorcycles.",0.41411042944785276,0.92,0.13392798390668326,0.3261320047486375,0.1312760321439794,0.132595378201173,0.1352739825221912,0.1407946184770094
llama3.2:3b,CAO13564,B,B,0.92,"{""V"": 0.03, ""B"": 0.92, ""E"": 0.01, ""P"": 0.02, ""R"": 0.01, ""S"": 0.08}",,0.77,Military Forces of Cameroon (1982-) Gendarmerie,"On 21 April 2024, gendarmerie officers clashed with Ambazonian Separatists from the Restoration Forces faction at the Separatist hideout in Kouki (Mbven, Bui, Nord-Ouest). There were no fatalities. No information on the injuries.",0.41411042944785276,0.92,0.13446557058546188,0.32744109801026977,0.13180297389330559,0.13312761580312354,0.13180297389330559,0.14135976781420614
llama3.2:3b,CAO8281,S,R,0.92,"{""V"": 0.03, ""B"": 0.01, ""E"": 0.02, ""P"": 0.01, ""R"": 0.92, ""S"": 0.01}",,0.71,Islamic State West Africa Province (ISWAP) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"Looting: On 18 December 2023, ISWAP or Boko Haram militants looted 2 houses in Waza (Waza, Logone-et-Chari, Extreme-Nord).",0.41411042944785276,0.92,0.13576302988414168,0.13307474177654105,0.13441216516607782,0.13307474177654105,0.33060057961982675,0.13307474177654105
llama3.2:3b,CAO10079,S,P,0.92,"{""V"": 0.03, ""B"": 0.01, ""E"": 0.02, ""P"": 0.92, ""R"": 0.08, ""S"": 0.04}",,0.75,Civilians (Cameroon),"Displacement: On 2 February 2023, civilians were displaced for fear of retaliation attacks from, the state security forces in Diongo (Dibombari, Moungo, Littoral) after suspected Ambazonian Separatists mounted an illegal checkpoint paralyzing vehicle movement.",0.41411042944785276,0.92,0.13392798390668326,0.1312760321439794,0.132595378201173,0.3261320047486375,0.1407946184770094,0.1352739825221912
llama3.2:3b,CAO9679,V,V,0.95,"{""V"": 0.95, ""B"": 0.01, ""E"": 0.02, ""P"": 0.01, ""R"": 0.01, ""S"": 0.0}",,0.78,Military Forces of Cameroon (1982-),"On 27 June 2022, military forces shot and killed four civilians in Banten (Bui, Nord-Ouest) who were previously arrested on 25 June during a military operation. The circumstances that led to their execution are unclear.",0.8309859154929563,0.9499999999999998,0.33861823390414764,0.1322737077229026,0.13360308058636017,0.1322737077229026,0.1322737077229026,0.13095756234044575
llama3.2:3b,CAO5718,V,V,0.95,"{""V"": 0.95, ""B"": 0.01, ""E"": 0.02, ""P"": 0.01, ""R"": 0.01, ""S"": 0.0}",,0.79,Military Forces of Cameroon (1982-),"On 16 October 2021, the military forces shot and killed a student in Waindo village, Wum subdivision (Menchum, Nord-Ouest). He was accused of being in possession of a military uniform and some ammunition.",0.8309859154929563,0.9499999999999998,0.33861823390414764,0.1322737077229026,0.13360308058636017,0.1322737077229026,0.1322737077229026,0.13095756234044575
llama3.2:3b,CAO8534,B,S,0.83,"{""V"": 0.07, ""B"": 0.43, ""E"": 0.01, ""P"": 0.02, ""R"": 0.04, ""S"": 0.83}",,0.8,Unidentified Armed Group (Cameroon),"On 21 February 2024, an unidentified armed group clashed with Boko Haram (JAS) (likely) militants in Kouyape (Kolofata, Mayo-Sava, Extreme-Nord). The bodies of 3 militants were found by civilians. The exact circumstances of their death are unknown.",0.29090909090909156,0.83,0.1344981749216116,0.1927801903198278,0.12666561097298426,0.12793862152708096,0.13052315312310397,0.2875942491351036
llama3.2:3b,CAO4163,V,V,0.95,"{""V"": 0.95, ""B"": 0.01, ""E"": 0.02, ""P"": 0.01, ""R"": 0.01, ""S"": 0.0}",,0.84,Military Forces of Cameroon (1982-),"On 12 December 2020, the military forces shot and killed two civilians in Mkpot village, Mamfe subdivision (Manyu, Sud-Ouest).",0.8309859154929563,0.9499999999999998,0.33861823390414764,0.1322737077229026,0.13360308058636017,0.1322737077229026,0.1322737077229026,0.13095756234044575
